-18:46,しゅさいがわ！
29:40,ボラ殿は俺と戦っているから、きっと使いこなせるはずだ
29:58,弦ちゃん！？
30:04,弦ちゃんｗ
30:07,弦ちゃんおるなｗ
30:10,弦ちゃん草
30:11,弦一郎殿ｗ
30:15,最終安置まで減らない時もあるからなぁw
30:18,際から逃げる為のヴァルキリー
30:19,弦ちゃん 笑笑(*´罒`*)
30:28,アンチ外ムーブとゲスト同士のよくぶつかる事が多いイメージ
30:34,スクリムムーブなんよ
30:38,SEKIROは経験になる
31:18,蜘蛛の足…？
31:40,逆張りすぎｗ
31:40,힙스터 ㅋㅋㅋ
31:42,武器に関しては逆張りだねｗ
31:43,逆張りボラちゃん
31:46,sellyさんランクでちょっと使ってたね
31:47,逆張りボラちゃん
31:49,終始かわいい
31:49,そんな日本語も知ってるんか
31:50,逆張りKINGかｗ
31:50,オタクだったかｗ
31:51,ㅋㅋㅋㅋㅋㅋㅋㅋ
31:53,にじさんじは逆張り多すぎw
31:54,Lスター「……」
31:57,Sellyさんが弓使いそう
31:58,でも弓強すぎてすぐナーフされそう
32:21,お、銃声がちかい
32:23,ん？
32:23,난데모?
32:25,後半弓だらけになること多いし割とすぐナーフ来るかもね
32:26,ん？
32:26,ん？
32:27,ん？
32:30,ん？
32:31,ん？なんでもって…？
32:31,ん？
32:31,ん？
32:32,まずいですよ！！！
32:33,やめなー？
32:34,ん？今、なんでもって
32:34,ん？
32:34,?!
32:35,ん？
32:36,ん？
32:37,ん？
32:37,ん？
32:37,ん？
32:37,なんでそんなネタ知ってるんだｗ
32:41,やめなさいw
32:42,やめな？？
32:42,なんでもに反応するなｗ
32:53,やめとけー！！
32:59,かわいいｗ
33:00,かわいいｗ
33:00,커엽 ㅋㅋㅋㅋ
33:02,かわいい
33:03,かわいい
33:03,かわいい
33:03,これほんまかわいいｗ
33:04,かわいい
33:05,🤣🤣🤣👍
33:05,かわいい
33:05,そのエモート好き
33:06,かわいいエモート
33:07,かわいい
33:07,かわいい
33:08,かわいいｗ
33:08,いいなそれｗ
33:09,かわいいー
33:09,かわいい
33:11,かわいい！
33:13,カラスどっから飛んできたｗ
33:14,かわいい
33:16,渋ハル閉め出していちゃついてた
33:20,かわいい
33:20,草
33:21,これいいよねｗ
33:25,買おうか迷ってるそれ笑笑
33:25,かわいい
33:29,あざといなブラハ
33:31,かっけえ
33:31,…そっちじゃない…って言ってそうｗ
33:34,かわいいw
33:37,笑笑(*´罒`*)
33:39,弓刺さっとるｗ
33:42,顔ぐちゃぐちゃｗ
33:42,草
33:43,草
33:43,ㅋㅋㅋㅋㅋㅋㅋ
33:43,草
33:43,草
33:45,草
33:46,のあちゃんがハリネズミにｗ
33:49,草
33:50,ㅋㅋㅋㅋ
33:51,弓刺さってるｗ
33:51,やらかしｗ
33:51,めっちゃ刺さってるｗ
33:53,もったいないw
33:53,トロールおるw
33:55,刺さったやつは回収できないからねw
33:56,光るのか
33:57,なんしてんw
33:57,あーあw
33:58,味方のは回収できないんよねｗ
34:01,矢鴨？
34:04,マイクラかな？
34:05,화살이 ㅋㅋㅋㅋㅋㅋㅋ
34:11,矢の無駄にｗ
34:18,死なないと回収出来へんw
34:18,デスボになれば回収できるんかな？
34:21,刺さったやつはデスボになったら中に入ってるから・・
34:24,膝に矢撃と
34:27,TOURNament ? 
34:30,いや減らなすぎでしょ、大会だなぁ
34:40,こんばんは、初見です。
34:42,今日は特に減らないな
34:52,平和や
34:56,줄어들지를 않는다 ㄷㄷ
35:01,カジュアルのカスタムとは思えない減り
35:01,Shibuyahal Custom
35:04,ナイス！
35:05,そろそろ減り始めるかな？
35:21,ｇｇ
35:22,streamer custom
35:23,GG
35:29,あああああ
35:29,えっぐぅ
35:29,gg
35:30,폭격이!!!
35:30,あああw
35:30,으아아아아
35:32,GG
35:33,gg
35:34,NF
35:34,ウルト刺さっちゃったかぁ
35:36,空爆がぁぁ
35:36,ウルト決まっっちまったな～
35:38,ナイファイ
35:38,最初に落ちてて草
35:39,ウルトささっちゃった
35:42,lmaooo
35:43,おしかった
35:47,ウルト完璧に刺さったな
35:47,一瞬目を離したら全滅してたｗ何が起きた？
35:48,20位になってしまった
35:50,空爆強かったなあ
35:51,主催者PTまさかの最下位開始
35:51,설마 광탈할줄은 ㅋㅋ
35:55,どまどま
35:57,gg nf
36:01,글고보니 울트를 안썻네 ㅋㅋㅋ
36:02,どんまいGG
36:06,🤣🤣🤣👍
36:07,なにその雑魚死、
36:08,最下位ｗ
36:08,ㅋㅋㅋㅋㅋ
36:10,どま
